date,number,type,duration,location,mcc,mnc,lac,cell_id
2024-04-01,9876543210,Incoming,120,Mumbai,404,20,1234,56789
2024-04-01,9123456780,Outgoing,60,Delhi,404,10,2345,67890
2024-04-01,9876543210,Incoming,200,Mumbai,404,20,1234,56789
2024-04-02,9000011111,Missed,0,Pune,404,20,3456,78901
2024-04-02,9123456780,Outgoing,90,Delhi,404,10,2345,67891
2024-04-02,9876543210,Incoming,150,Bangalore,404,45,4567,89012
2024-04-03,9111122222,Outgoing,300,Mumbai,404,20,1235,56790
2024-04-03,9000011111,Incoming,45,Pune,404,20,3456,78901
2024-04-03,9876543210,Outgoing,180,Delhi,404,10,2346,67892
2024-04-04,9123456780,Incoming,75,Chennai,404,51,5678,90123
2024-04-04,9111122222,Missed,0,Mumbai,404,20,1234,56789
2024-04-04,9876543210,Outgoing,220,Mumbai,404,20,1235,56790
2024-04-05,9000011111,Incoming,130,Hyderabad,404,49,6789,12345
2024-04-05,9123456780,Outgoing,95,Delhi,404,10,2345,67890
2024-04-05,9876543210,Incoming,160,Mumbai,404,20,1234,56789
